Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Afghanistan,AFG,..,..,16.70697403,17.74602509,21.42300415,25.11388779,28.9412632,32.70893097,39.88624954,43.13351822,46.42438889,52.18721771,52.45247269,56.16043472,60.04951096,59.91960526,61.37234497,66.82388306,71.22509003,74.0642395,80.0892334,81.52112579,80.6516037,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Albania,ALB,65.47674561,73.92171478,78.72909546,105.43667603,136.50724792,149.97515869,164.22090149,209.31910706,237.10340881,236.94244385,253.98246765,273.75292969,260.68319702,276.0765686,293.1267395,253.93347168,275.43676758,295.52346802,349.21127319,366.34014893,396.17477417,465.57043457,414.35025024,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Algeria,DZA,61.85785294,67.05859375,66.681633,75.9513092,92.6876297,100.83694458,116.7750473,150.86651611,206.37207031,207.20181274,227.95396423,285.5020752,340.09133911,337.5736084,366.58670044,296.76824951,265.53439331,270.93261719,271.53778076,242.07002258,211.07276917,208.52682495,179.69688416,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Andorra,AND,1295.08508301,1376.14428711,1583.21118164,1885.52746582,2059.91821289,2283.44287109,2156.34423828,2376.66162109,2774.92602539,2663.37402344,3277.78515625,3550.90820313,2785.18896484,2887.02587891,3001.19604492,2672.26464844,2769.15283203,2876.17871094,3158.13647461,3021.43261719,3282.81738281,3535.98974609,3192.31567383,3654.07470703,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Angola,AGO,13.15998554,29.26095772,29.37077141,35.2206955,50.23310852,54.66142273,70.28185272,93.42698669,136.34094238,120.5289917,96.95197296,122.11888123,121.84848022,142.78450012,130.5861969,107.52857208,94.01481628,112.75364685,84.03104401,64.61397552,55.93916321,67.04656982,101.25614166,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Antigua and Barbuda,ATG,520.12213135,572.20776367,559.08331299,613.65112305,597.74902344,641.3157959,665.11560059,714.27496338,694.03344727,609.50390625,724.08880615,717.28186035,753.50183105,739.10491943,826.75598145,789.30975342,817.88891602,791.12322998,856.37127686,808.14996338,883.50018311,843.4654541,1084.88330078,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Argentina,ARG,702.23309326,668.79309082,221.80255127,259.99020386,309.04415894,389.34667969,451.97616577,567.28747559,740.14105225,778.51556396,975.65991211,1196.51464844,1355.22851563,1408.75634766,1274.66125488,1517.33789063,1251.65612793,1486.92871094,1209.5357666,1011.08013916,891.99621582,1080.88208008,1370.88464355,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Armenia,ARM,25.6606369,31.90725899,59.20983887,66.31577301,71.65074158,95.55095673,124.8989563,170.15332031,261.59963989,247.90641785,291.77758789,325.29086304,331.91378784,392.85253906,404.33874512,365.51950073,359.58227539,409.80145264,428.34570313,533.69952393,535.2723999,595.83544922,674.78619385,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
