Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,Measles,"9,769","2,792","5,166","2,900",640,353,"2,012","1,511",638,"1,154",492,430,"2,787","3,013","1,989","2,861","1,599","1,141","1,990","1,296",466,798,"2,486","8,762","6,532"
Albania,Measles,212,13,1,,4,488,"1,469",12,17,,,0,9,28,10,0,,22,68,6,7,8,16,18,662
Algeria,Measles,488,203,47,,,"2,585","3,356",112,41,63,0,25,18,112,103,107,217,0,944,"2,302","3,289","15,374","5,862","2,686",
American Samoa,Measles,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,1
Andorra,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
Angola,Measles,619,"3,508","3,271",300,"1,085","2,987",57,29,53,119,"11,699","8,523","4,458","1,449","1,190","2,807",265,"1,014",765,258,29,"1,196","11,945","9,046","2,219"
Anguilla,Measles,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0
Antigua and Barbuda,Measles,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Measles,,0,2,0,69,130,14,3,0,0,1,0,2,3,17,3,0,0,0,0,0,0,0,0,6
Armenia,Measles,561,554,0,0,0,7,19,1,2,33,13,10,0,0,2,0,0,1,137,"2,281","1,783",4,40,69,15
Aruba,Measles,0,,0,0,,1,0,0,,,,,,,,,,,,,,,,,
Australia,Measles,57,26,7,0,25,286,103,81,99,74,340,158,199,190,70,104,65,11,,10,70,91,32,141,108
Austria,Measles,542,186,1,1,25,151,77,95,27,309,117,,36,68,52,49,448,20,23,9,15,90,,0,
Azerbaijan,Measles,"18,584","13,207",1,0,2,281,55,0,0,0,0,164,0,0,0,,5,0,222,"1,238",827,"1,978","4,353",574,210
Bahamas,Measles,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Measles,2,3,18,0,0,3,0,0,0,0,46,,0,0,0,3,2,7,3,4,11,12,8,5,6
Bangladesh,Measles,247,281,311,203,"2,410","5,827","2,263","4,001",972,240,289,237,"1,986","5,625",788,718,"2,660","2,924","6,192","25,934","9,743","4,067","3,484","4,414","5,098"
Barbados,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Measles,754,193,0,3,0,201,259,1,10,2,64,16,10,50,1,0,0,1,149,1,2,21,14,45,21
Belgium,Measles,526,67,8,7,47,480,117,367,,47,70,39,109,576,40,33,98,64,15,26,61,44,,83,
Belize,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Measles,785,478,455,35,18,437,493,97,89,55,786,637,288,426,392,"1,461",928,341,176,210,262,217,"1,588","5,859","4,244"
Bermuda,Measles,2,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,0
Bhutan,Measles,0,10,7,,,2,18,66,45,11,0,0,1,10,21,6,7,11,2,11,3,0,27,756,418
Bolivia (Plurinational State of),Measles,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
Bonaire,Measles,0,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Measles,"7,957",13,6,,,"1,404",62,18,133,"1,677","3,000",,22,10,45,22,8,166,17,23,28,18,28,,43
Botswana,Measles,3,63,1,0,5,0,0,0,1,0,1,1,7,8,853,184,0,1,6,5,1,59,7,1,"2,672"
Brazil,Measles,5,0,41,668,"8,448","20,901","9,329",,0,214,876,220,2,43,68,0,0,0,57,6,0,2,1,1,36
British Virgin Islands,Measles,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,0,0,0
Brunei Darussalam,Measles,0,1,0,0,0,1,1,0,1,4,1,,1,4,0,2,3,,,9,16,24,,11,42
Bulgaria,Measles,27,0,1,0,257,"1,231",13,165,1,0,0,14,1,157,"22,004","2,249",1,1,1,3,0,0,0,8,46
Burkina Faso,Measles,"4,397",680,252,,"2,480",672,"4,072",49,226,99,343,375,"7,362",860,"2,511","54,118",395,12,125,253,77,"2,946","1,744","4,174","6,074"
Burundi,Measles,"2,741","1,684",212,369,"1,700",112,9,18,16,9,0,0,49,129,495,305,173,43,784,0,2,224,"1,016",,"18,363"
Cabo Verde,Measles,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cambodia,Measles,666,11,13,5,379,684,3,10,56,0,0,0,15,722,"1,156","4,779","4,211",394,188,264,352,653,"1,361","3,761","12,237"
Cameroon,Measles,863,"6,105","3,217",771,"1,509","2,809",814,712,338,"1,809",831,760,609,504,240,251,495,100,196,605,358,899,"1,448","23,934","14,629"
Canada,Measles,147,12,3,0,1,113,28,45,11,195,418,83,10,803,99,14,62,101,13,6,7,15,6,34,206
Cayman Islands,Measles,0,0,0,0,0,,0,0,,,,,,,,,,,,,,0,0,0,0
Central African Republic,Measles,125,"3,841",155,286,"3,433","3,390",224,801,367,150,210,596,141,679,2,11,12,49,3,471,"1,233",652,938,"2,837","3,207"
Chad,Measles,"6,978","11,862","2,158","2,577","2,170","1,882","1,457",9,118,418,"1,275",226,120,"8,650",194,165,63,441,"1,594",2,"10,324","15,801","7,277","24,908","3,546"
Chile,Measles,0,1,0,0,2,11,24,0,0,9,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0
China,Measles,"1,272",621,552,554,867,"2,974","3,940","5,941","24,820","42,361","52,628","26,883","6,183","9,943","38,159","52,461","131,441","109,023","99,602","124,219","70,549","71,879","58,341","88,962","71,093"
"China, Hong Kong SAR",Measles,9,4,3,1,1,90,17,4,9,18,50,8,8,13,13,22,69,88,,,,33,,179,60
"China, Macao SAR",Measles,0,0,0,0,0,37,3,2,0,0,,1,1,1,,0,4,0,,0,0,3,,3,5
Colombia,Measles,0,0,0,0,1,244,208,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,139,3,1
Comoros,Measles,17,51,4,0,0,65,0,0,0,0,0,0,1,3,0,1,0,0,85,912,0,0,0,,
Congo,Measles,483,385,"6,718",160,37,66,28,958,277,"1,359",71,124,260,315,4,1,2,84,126,146,"3,524","3,712","2,788","2,152","1,678"
Cook Islands,Measles,,,,,,0,0,,,,,,0,0,0,0,0,1,6,0,0,17,0,0,2
Costa Rica,Measles,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,1,0,0,0
Croatia,Measles,33,3,0,0,0,52,23,7,4,206,,0,2,12,7,2,51,0,1,2,54,19,6,8,9
Cuba,Measles,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Curaçao,Measles,,,,,,1,0,0,,,,,,,,,,,,,,,,,
