Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,Measles,229.1,67.4,127.3,72.5,16.4,9.3,54.8,42.3,18.4,34.1,15,13.6,91.2,102.7,70.3,104.2,60.4,44,78.3,53.1,19.8,35.1,116.3,432,324.5
Albania,Measles,75.9,4.6,0.4,,1.4,169.2,507.6,4.1,5.9,,,0,3.1,9.6,3.4,0,,7.3,22.3,2,2.3,2.6,5.1,5.7,209.1
Algeria,Measles,10.4,4.4,1,,,59.7,79,2.7,1,1.6,0,0.7,0.5,3,2.8,3,6.2,0,28.1,69.5,100.8,477.8,184.6,85.7,
American Samoa,Measles,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,17.6
Andorra,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,75.9,30.4
Angola,Measles,16.3,95.5,91.8,8.7,32.4,92.3,1.8,1,1.8,4.2,430.7,325.7,177.1,59.8,51.1,125.2,12.3,48.8,38.2,13.4,1.6,66.7,689.4,540.1,137
Anguilla,Measles,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0
Antigua and Barbuda,Measles,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Measles,,0,0,0,1.5,2.9,0.3,0.1,0,0,0,0,0,0.1,0.4,0.1,0,0,0,0,0,0,0,0,0.2
Armenia,Measles,188.6,188.2,0,0,0,2.4,6.5,0.3,0.7,11.3,4.4,3.4,0,0,0.7,0,0,0.3,45.8,758.7,589.9,1.3,13.1,22.4,4.8
Aruba,Measles,0,,0,0,,9.3,0,0,,,,,,,,,,,,,,,,,
Australia,Measles,2.1,1,0.3,0,1,11.2,4.1,3.3,4.1,3.1,14.4,6.8,8.7,8.5,3.2,4.8,3,0.5,,0.5,3.5,4.6,1.6,7.3,5.6
Austria,Measles,59.4,20.4,0.1,0.1,2.8,17,8.7,10.8,3.1,35.7,13.7,,4.3,8.1,6.2,5.9,53.8,2.4,2.8,1.1,1.8,11.1,,0,
Azerbaijan,Measles,"1,797.90","1,280",0.1,0,0.2,27.8,5.5,0,0,0,0,17.3,0,0,0,,0.6,0,25.5,144,97.4,235.5,522.8,69.6,25.7
Bahamas,Measles,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Measles,1.2,1.9,11.7,0,0,2,0,0,0,0,35,,0,0,0,2.5,1.8,6.6,3,4.3,12.6,14.8,10.6,7.1,9
Bangladesh,Measles,1.4,1.6,1.8,1.2,14.5,35.3,13.8,24.7,6,1.5,1.8,1.5,12.8,36.6,5.2,4.8,17.8,19.8,42.3,179.2,68.2,28.9,25.1,32.3,37.9
Barbados,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Measles,83.3,21.2,0,0.3,0,21.3,27.3,0.1,1.1,0.2,6.8,1.7,1.1,5.3,0.1,0,0,0.1,15.5,0.1,0.2,2.1,1.4,4.5,2.1
Belgium,Measles,44.8,5.7,0.7,0.6,4.1,41.8,10.2,32.3,,4.2,6.2,3.5,9.8,52.2,3.7,3.1,9.2,6,1.4,2.5,5.9,4.2,,8.1,
Belize,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Measles,54.3,33.9,33.1,2.6,1.4,34.3,39.8,8.1,7.6,4.8,71.3,59.5,27.7,42.2,40,153.6,100.6,38.1,20.2,24.9,32.1,27.4,206.9,786.9,587.7
Bermuda,Measles,30.9,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,0
Bhutan,Measles,0,12.7,9,,,2.6,23.7,87.5,60.2,14.9,0,0,1.4,14.1,29.9,8.6,10.2,16.2,3,16.6,4.6,0,43.2,"1,237.70",700.3
Bolivia (Plurinational State of),Measles,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2
Bonaire,Measles,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Measles,"2,514.70",4.1,1.9,,,419.7,18.3,5.2,38.3,476.6,841.6,,6,2.7,11.8,5.7,2,41.4,4.2,5.6,6.8,4.3,6.7,,10.3
Botswana,Measles,1.2,25.4,0.4,0,2.1,0,0,0,0.4,0,0.5,0.5,3.3,3.9,419.6,92.4,0,0.5,3.2,2.7,0.6,33.2,4,0.6,"1,593"
Brazil,Measles,0,0,0.2,3.2,40.5,100.7,45.3,,0,1.1,4.4,1.1,0,0.2,0.4,0,0,0,0.3,0,0,0,0,0,0.2
British Virgin Islands,Measles,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,0,0,0
Brunei Darussalam,Measles,0,2.2,0,0,0,2.3,2.3,0,2.3,9.5,2.4,,2.5,10,0,5.2,7.9,,,25.1,45.3,69.2,,33,128.7
Bulgaria,Measles,4,0,0.1,0,37.1,176.5,1.9,23.3,0.1,0,0,1.9,0.1,21.3,"2,958.50",300.3,0.1,0.1,0.1,0.4,0,0,0,1,5.7
Burkina Faso,Measles,186.7,29.5,11.2,,115.5,32.1,199.2,2.5,11.7,5.3,18.8,21.2,428.7,51.6,155.2,"3,444.80",25.9,0.8,8.7,18.2,5.7,225.2,137.5,339.5,509.3
Burundi,Measles,195.1,123,15.9,28.5,134.7,9.1,0.8,1.6,1.4,0.8,0,0,4.9,13.3,52.8,34.1,20.3,5.3,99.7,0,0.3,31.8,148.9,,"2,838.10"
Cabo Verde,Measles,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
Cambodia,Measles,37.8,0.6,0.8,0.3,22.7,41.5,0.2,0.6,3.5,0,0,0,1,49,79.7,334.7,299.6,28.5,13.8,19.6,26.6,50,105.9,297.1,981.9
Cameroon,Measles,29.6,215.2,116.4,28.6,57.6,110.1,32.8,29.5,14.4,79.5,37.7,35.5,29.3,24.9,12.2,13.1,26.7,5.5,11.2,35.4,21.6,55.6,92.1,"1,563.30",981
Canada,Measles,3.7,0.3,0.1,0,0,3,0.8,1.2,0.3,5.4,11.7,2.4,0.3,23.2,2.9,0.4,1.9,3.1,0.4,0.2,0.2,0.5,0.2,1.1,6.7
Cayman Islands,Measles,0,0,0,0,0,,0,0,,,,,,,,,,,,,,0,0,0,0
Central African Republic,Measles,23.4,745.5,30.4,55.9,683,685.6,45.9,167.1,77.9,32.4,45.4,128.4,30.6,148.7,0.4,2.4,2.6,11,0.7,109.8,294.1,158.9,234.1,723.8,836.6
Chad,Measles,343.8,614,116.9,144.5,126,112.8,90.2,0.6,7.8,28.5,89.9,16.5,9.1,678.2,15.8,13.9,5.5,39.8,148.9,0.2,"1,040.70","1,665.40",798.2,"2,829.10",416.6
Chile,Measles,0,0.1,0,0,0.1,0.6,1.3,0,0,0.5,0,0,0,0.3,0,0.1,0,0,0,0,0,0.1,0,0,0
China,Measles,0.9,0.4,0.4,0.4,0.6,2.1,2.8,4.2,17.7,30.3,37.9,19.5,4.5,7.3,28.2,39.1,98.5,82.2,75.6,94.8,54.2,55.5,45.3,69.6,56
"China, Hong Kong SAR",Measles,1.2,0.5,0.4,0.1,0.1,12,2.3,0.5,1.2,2.4,6.8,1.1,1.1,1.8,1.8,3.1,9.8,12.6,,,,4.8,,26.4,8.9
"China, Macao SAR",Measles,0,0,0,0,0,55.1,4.6,3.1,0,0,,1.7,1.7,1.7,,0,7.5,0,,0,0,6.4,,6.7,11.4
Colombia,Measles,0,0,0,0,0,4.9,4.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,3.4,0.1,0
Comoros,Measles,19.6,60,4.8,0,0,82.6,0,0,0,0,0,0,1.5,4.5,0,1.6,0,0,140.6,"1,538.80",0,0,0,,
Congo,Measles,76.3,62.3,"1,113.20",27.2,6.4,11.8,5.1,179,53,266.6,14.3,25.5,54.8,68.3,0.9,0.2,0.5,21.1,32.8,39.5,988.3,"1,077.30",832,657.6,532.5
Cook Islands,Measles,,,,,,0,0,,,,,,0,0,0,0,0,64.5,394.6,0,0,"1,131.30",0,0,126.1
Costa Rica,Measles,0,0.2,0,0,0,2,0,0,0,0,0.2,0,0,0,0,0,0,0,,0.2,0,0.2,0,0,0
Croatia,Measles,8.5,0.8,0,0,0,13,5.7,1.7,1,49.2,,0,0.5,2.8,1.6,0.5,11.8,0,0.2,0.5,12.5,4.4,1.4,1.9,2.1
Cuba,Measles,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Curaçao,Measles,,,,,,5.3,0,0,,,,,,,,,,,,,,,,,
Cyprus,Measles,20.6,0,0,0.8,0.8,4.7,11.8,2.4,0,0,8.3,0,0.9,0,16,0,0.9,0,0,1,0,0,0,,0
Czechia,Measles,3.3,0.1,0,0,0.4,55.9,19.6,13.5,0.7,0.9,21.1,1.4,2.1,1.6,0,0.5,0.2,0.2,0.7,0,1.7,2.9,0.4,0.6,0.9
Côte d'Ivoire,Measles,58.6,43.7,52.5,62,20.8,13.2,16.5,6.1,1.7,2.6,2,2,5.8,27.3,19.6,8.3,0.6,0.2,0.5,5.7,176.9,249.4,315.3,318.5,323.7
Democratic People's Republic of Korea,Measles,0,0,0,,0,,0,0,0,0,0.1,0,0,0,0,0,0.3,144,0,0,0,0,0,0,
Democratic Republic of the Congo,Measles,"1,001.30","2,944.50",42.8,549.4,857.3,"3,582.90",774,518,60.7,61.9,430,"1,166.10",983.3,"1,888.50",78.9,0.9,193.5,889.5,"1,321.80","3,104.80",788.3,396.7,566.8,154.8,164
Denmark,Measles,4.2,1.5,0,0,0.7,2.6,1.4,0.7,0.5,1.6,4.8,3,0.4,15.1,0.9,1.1,2.5,0.4,5,0.4,0,0,6,2.1,2.6
Djibouti,Measles,51.3,386.8,181.2,0,,,26.1,2.8,7.7,46.1,,28.4,733.4,51.7,7.5,52.7,160.2,27.4,57.3,355.1,85.9,45.5,62.8,102.4,244.9
Dominica,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,13,29.5
Ecuador,Measles,0,0,0,0,0,0,1.1,0,0.1,0,0,0,4.6,16.8,0,0,0.1,0,0,0,0,0,0,0.2,0
Egypt,Measles,0.8,2.3,0.1,0,0,0,0.5,0.2,2.2,54.5,13.5,4.2,2.6,0.3,0.2,6.9,7.8,20,11.5,0.9,1,2.1,8.6,28.8,36
El Salvador,Measles,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
